Model,Mean_score,Std_score,Mean_runtime,Std_runtime
KNN,0.6087588210875882,0.0,41.64558591842651,5.360644340400282
GaussianNB,0.5850975508509755,0.0,0.1292625904083252,0.031373956666912485
LinearSVC,0.6318389373183894,0.0005781813315560242,28.69702544212341,0.39504656900775237
