Model,Score,Runtime
KNN,0.6087588210875882,33.016993045806885
KNN,0.6087588210875882,38.46666383743286
KNN,0.6087588210875882,44.529377698898315
KNN,0.6087588210875882,48.45177102088928
KNN,0.6087588210875882,43.763123989105225
GaussianNB,0.5850975508509755,0.19185519218444824
GaussianNB,0.5850975508509755,0.11716103553771973
GaussianNB,0.5850975508509755,0.11361575126647949
GaussianNB,0.5850975508509755,0.11018800735473633
GaussianNB,0.5850975508509755,0.11349296569824219
LinearSVC,0.6309672063096721,27.932466983795166
LinearSVC,0.632420091324201,29.041018962860107
LinearSVC,0.6320049813200498,28.9099440574646
LinearSVC,0.632420091324201,28.87342596054077
LinearSVC,0.6313823163138231,28.72827124595642
